290,740,950
291,741,671
292,742,612
292,742,604
292,742,585
292,742,565
293,742,561
292,743,572
292,743,563
292,744,554
292,745,605
293,745,615
292,745,606
292,745,622
292,745,627
292,745,621
292,746,729
292,747,756
292,747,857
293,748,840
292,748,870
292,749,835
292,749,834
292,749,824
292,748,1091
291,750,1007
291,749,1255
292,749,1279
312,769,779
312,769,708
312,770,589
309,770,522
309,770,506
308,770,504
311,771,486
313,772,467
318,773,421
320,773,413
320,774,402
320,773,406
317,770,375
317,770,378
316,770,377
318,770,390
334,782,573
331,782,555
334,784,604
335,788,766
337,791,537
344,795,463
347,797,403
350,799,404
351,799,393
353,799,386
354,800,401
359,802,398
359,802,389
360,802,384
360,800,352
360,800,352
359,800,343
359,800,348
358,799,349
361,800,370
387,809,416
390,809,428
391,804,421
397,812,441
399,817,447
408,824,483
414,830,480
425,833,487
429,834,463
430,834,443
432,834,430
437,835,425
441,837,433
438,834,394
439,829,362
439,829,355
441,829,342
441,828,340
445,832,375
473,840,424
475,840,426
474,838,406
480,840,391
480,840,395
483,841,388
480,838,378
486,838,415
484,837,379
482,836,359
482,837,383
490,838,389
501,844,452
507,842,459
511,842,430
512,842,413
514,843,416
516,844,437
524,843,405
525,843,405
530,844,420
529,844,415
527,843,408
531,844,436
536,845,405
539,844,422
548,844,428
548,844,424
550,843,451
552,842,446
557,843,496
563,845,449
564,845,427
569,846,438
567,844,423
577,846,437
577,846,429
579,845,411
583,845,381
584,845,381
587,843,387
590,843,369
590,843,387
592,841,399
592,841,401
594,840,409
596,840,407
597,840,420
602,841,420
601,840,410
602,840,377
603,841,391
606,841,388
617,837,324
616,836,315
613,835,304
613,835,302
614,835,306
616,835,307
618,836,316
631,840,347
628,838,343
635,840,364
635,839,374
635,838,357
637,837,362
638,837,353
638,837,347
639,836,345
638,836,341
638,836,335
644,838,355
642,835,343
643,835,345
642,832,332
642,832,330
643,830,323
644,831,320
644,829,325
644,829,325
644,828,329
648,827,330
651,826,333
651,824,338
656,825,374
660,820,340
663,821,341
664,820,340
667,815,318
669,815,326
669,813,334
670,812,330
671,811,346
673,811,348
677,811,350
678,811,349
679,810,347
680,811,356
680,809,341
682,809,354
686,809,354
688,807,321
688,806,328
690,806,335
694,805,321
694,804,321
692,802,303
696,801,299
698,799,292
699,798,296
701,798,299
702,796,297
706,793,299
708,793,294
709,791,288
709,790,283
710,788,279
711,786,276
711,785,279
713,784,273
716,782,279
715,781,286
715,780,295
718,778,292
718,778,291
719,777,294
719,775,289
718,774,276
719,772,287
720,772,286
722,770,291
724,770,284
722,768,284
724,767,276
726,766,267
727,764,261
729,763,274
728,762,274
729,760,263
730,759,261
729,758,263
732,756,270
734,755,266
736,754,265
736,752,262
736,751,273
743,747,280
745,743,291
745,743,292
748,738,273
748,739,278
754,738,281
753,736,282
750,731,269
752,729,271
753,729,278
754,727,282
755,724,274
755,724,273
754,722,282
753,722,291
754,720,287
755,719,289
755,718,289
755,716,293
755,716,286
758,714,298
758,712,299
757,711,301
759,708,292
758,707,293
762,706,284
763,701,295
763,699,284
762,690,282
763,688,293
764,688,291
764,686,301
770,676,283
773,676,281
772,675,278
773,673,261
771,671,253
771,671,261
772,669,262
773,669,256
773,668,258
777,665,250
775,662,257
775,659,243
777,659,249
778,657,255
779,655,260
782,653,284
782,651,278
783,648,261
786,646,261
788,644,266
787,641,273
788,639,272
787,639,274
789,633,283
790,629,273
793,628,288
793,626,282
794,625,284
794,623,286
790,620,306
794,619,305
793,616,311
795,614,300
797,612,292
797,608,279
796,605,266
796,604,267
795,603,270
797,599,278
796,597,280
797,595,280
797,593,281
797,590,278
797,588,287
798,587,288
799,582,281
798,576,269
798,575,272
797,572,276
800,568,300
800,567,292
800,565,294
798,562,305
797,561,293
797,558,314
799,555,319
799,550,308
800,549,300
799,546,283
798,542,284
797,540,279
798,537,290
799,535,283
